site,category,Google hits ,FB likes,Twitter ,political alignment?,URL,Notes
,,,,,,,
100PercentFedUp,clickbait  ,"137,000","1,005,880",11600,right,100PercentFedUp.com,
21st Century Wire,conspiracy  ,"161,000","21,096",n/a,right,http://21stcenturywire.com/,Syria backed?
369News,conspiracy  ,"37,400","5,866",1441,right,369news.net/,
70news,clickbait  ,"257,000",n/a,n/a,right,https://70news.wordpress.com/,
A Sheep No More,conspiracy  ,"219,000","256,066",901,unknown,http://asheepnomore.net/,
Abcnews.com.co,fake news,"11,100,000",n/a,n/a,right,http://abcnews.com.co/,
Accuracy in Media (AIM),clickbait  ,"244,000","11,836",22400,right,http://www.aim.org/,
ACN Latitudes,junk science,"27,600","1,611",26500,,http://latitudes.org/,
ActivistPost,clickbait  ,"571,000","542,095",23700,left,http://www.activistpost.com/,
Addicting Info,clickbait  ,"616,000","1,231,596",21300,left,http://addictinginfo.org/,
AdwNews,conspiracy  ,"13,400","1,762",4375,unknown,http://awdnews.com/,
Age of Autism,junk science,"344,000","16,663",33000,right,http://www.ageofautism.com/,
Allen B. West,clickbait  ,"232,000","1,324,011",586000,right,http://www.allenbwest.com/,
Allen West Republic,clickbait  ,"249,000","752,172",23400,right,http://allenwestrepublic.com/,
Alt Health Works,junk science,"91,900","154,882",1253,right,http://althealthworks.com/,
Alternet,clickbait  ,"2,560,000","926,893",122000,left,http://www.alternet.org/,
Amandla! Media,clickbait  ,"2,210,000","5,443",1668,left,http://aidc.org.za/,
AmericaBlog,clickbait  ,"623,000","10,205",15600,left,http://americablog.com/,
American Enterprise Institute,clickbait  ,"605,000","272,972",67200,right,https://www.aei.org/,
American Free Press,conspiracy  ,"225,000","2,161",n/a,right,http://americanfreepress.net/,
American Freedom Fighters,clickbait  ,"73,600","445,053",5296,right,http://www.americasfreedomfighters.com/,
American Lookout,clickbait  ,"21,500,000",n/a,1409,right,http://americanlookout.com/,
American News,conspiracy  ,"4,530,000","5,483,682",n/a,right,http://americannews.com/,
American News X,clickbait  ,"40,100","234,298",1368,left,http://americannewsx.com/,
American Renaissance,clickbait  ,"3,330,000","5,471",15000,right,http://www.amren.com/,
American Spectator,clickbait  ,"651,000","109,303",33700,right,https://spectator.org/,
American Thinker,clickbait  ,"844,000","111,814",35300,right,http://www.americanthinker.com/,
American Updater,clickbait  ,"397,000",n/a,n/a,right,http://americanupdater.com/,
Americans for Prosperity,clickbait  ,"417,000","1,116,622",130000,right,https://americansforprosperity.org/,
